datetime,machineID,volt,rotate,pressure,vibration
01/01/2015 6:00,1,176.217853,418.5040782,113.0779355,45.08768576
01/01/2015 7:00,1,162.8792229,402.7474896,95.46052538,43.41397268
01/01/2015 8:00,1,170.9899024,527.3498255,75.23790486,34.17884712
01/01/2015 9:00,1,162.4628333,346.149335,109.2485613,41.12214409
01/01/2015 10:00,1,157.6100212,435.376873,111.8866482,25.990511
01/01/2015 11:00,1,172.5048392,430.3233621,95.92704169,35.65501733
01/01/2015 12:00,1,156.5560306,499.0716231,111.7556843,42.7539197
01/01/2015 13:00,1,172.5227808,409.624717,101.0010828,35.48200866
01/01/2015 14:00,1,175.3245239,398.6487807,110.6243605,45.48228685
01/01/2015 15:00,1,169.2184232,460.8506699,104.84823,39.90173544
01/01/2015 16:00,1,167.0609807,382.4835429,103.7806625,42.67579991
01/01/2015 17:00,1,160.2639537,448.084256,96.48097567,38.54368093
01/01/2015 18:00,1,153.3534915,490.672921,86.01244025,44.10855437
01/01/2015 19:00,1,182.739113,418.199252,93.48495406,41.36718973
01/01/2015 20:00,1,170.3354379,402.4611866,93.23578706,39.73988268
01/01/2015 21:00,1,182.4671093,501.9189727,85.7626147,51.02148612
01/01/2015 22:00,1,151.3356822,444.9226565,94.24737133,42.11965209
01/01/2015 23:00,1,172.5353962,511.8863643,91.32942907,32.24883237
02/01/2015 0:00,1,180.0974946,486.7123039,96.73391515,38.89677573
02/01/2015 1:00,1,169.6058544,519.4528121,78.88077957,40.15687491
02/01/2015 2:00,1,167.1291175,427.0507681,91.69989877,44.6423514
02/01/2015 3:00,1,158.2714003,422.8110517,92.43913192,39.78191709
02/01/2015 4:00,1,200.8724298,403.2359508,96.53548653,32.51683764
02/01/2015 5:00,1,181.2575218,495.7779578,93.43929005,52.35587614
02/01/2015 6:00,1,197.3631245,446.9439473,114.3420608,29.52766452
02/01/2015 7:00,1,171.2008946,384.6459616,103.3732933,35.79656614
02/01/2015 8:00,1,160.5288605,486.4590561,86.94427269,42.99250944
02/01/2015 9:00,1,147.3006782,420.6107918,110.4089847,34.20304225
02/01/2015 10:00,1,160.4585025,412.9656956,90.7113545,36.96376626
02/01/2015 11:00,1,173.394523,439.5794598,97.67582686,37.11710256
02/01/2015 12:00,1,185.2053552,445.6064467,105.9932466,47.86248424
02/01/2015 13:00,1,173.791252,385.3549238,99.50681883,42.92133626
02/01/2015 14:00,1,152.4207753,497.8406201,101.6416915,30.66518414
02/01/2015 15:00,1,180.0307149,486.8935931,93.7438266,43.09975844
02/01/2015 16:00,1,145.248486,495.3764492,111.9505873,37.42227213
02/01/2015 17:00,1,164.5122163,424.5426326,102.4855298,42.24337433
02/01/2015 18:00,1,165.2582251,493.1614285,127.0144977,45.13519397
02/01/2015 19:00,1,140.7763093,432.0437733,99.82449701,31.27932091
02/01/2015 20:00,1,183.8008628,414.2742951,86.32375989,37.78983368
02/01/2015 21:00,1,160.6569261,446.6138426,115.3133119,35.944564
02/01/2015 22:00,1,164.9894503,418.0697914,80.66828673,42.6386787
02/01/2015 23:00,1,190.9272184,437.9604413,85.26024735,40.56620182
03/01/2015 0:00,1,179.5501162,502.7874563,109.9660202,41.73069767
03/01/2015 1:00,1,168.3735245,489.9108978,114.0424062,36.09265642
03/01/2015 2:00,1,177.7064417,521.8379364,101.5280331,35.46844404
03/01/2015 3:00,1,175.9890771,510.2569761,92.36287247,36.37603366
03/01/2015 4:00,1,194.9428467,418.8422713,95.89631223,47.16364845
03/01/2015 5:00,1,174.1384011,489.2503152,91.92630609,32.3236161
03/01/2015 6:00,1,177.5940893,459.9566698,96.65162442,52.99732688
03/01/2015 7:00,1,175.2132796,486.4948038,104.4329622,47.87580372
